No	Symbol	StockName	Sector	Industry
104	AMRK	Aマーク・プレシャ...	金融	総合資本市場
105	AMRS	アミリス	素材	特殊化学品
106	AMRX	アムニール・ファ...	ヘルスケア	医薬品
107	AMSF	アメリセーフ	金融	動産保険・損害保険
108	AMSWA	アメリカン・ソフ...	情報技術	アプリケーション・ソフトウェア
109	AMTB	AmerantBancorpInc	金融	Banks-Regional
110	AMTX	アメティス	素材	特殊化学品
111	AMWD	アメリカン・ウッ...	一般消費財	家具・装飾
112	AMWL	アメリカン・ウェル	ヘルスケア	Health Information Services
113	ANAB	アナプティスバイオ	ヘルスケア	バイオテクノロジー
114	ANDE	アンダーソンズ	生活必需品	食品流通
115	ANF	アバクロンビーア...	一般消費財	衣料小売り
116	ANGO	アンジオダイナミクス	ヘルスケア	ヘルスケア用品
117	ANIK	アニカ・セラピュ...	ヘルスケア	バイオテクノロジー
118	ANIP	ＡＮＩ・ファーマ...	ヘルスケア	バイオテクノロジー
119	ANTX	アンセム	その他	その他
120	AOMR	AngelOakMortgageInc	不動産	REIT-Mortgage
121	AORT	クライオライフ	Healthcare	Medical Devices
122	AOSL	アルファ&オメ...	情報技術	半導体
123	APAM	アルチザン・パー...	金融	資産運用会社・資産管理銀行
124	APEI	アメリカン・パブ...	一般消費財	教育サービス
125	APG	APiグループ	資本財	Engineering & Construction
126	APLD	Applied Blockchai...	資本財	総合資本市場
127	APLE	アップル・ホスピ...	不動産	REIT-Hotel & Motel
128	APLS	アペリス・ファー...	ヘルスケア	バイオテクノロジー
129	APOG	アポジー・エンタ...	素材	建設資材
130	APPF	アップフォリオ　...	情報技術	アプリケーション・ソフトウェア
131	APPH	アップハーベスト	ディフェンシブ	Farm Products
132	APPN	アピアン	情報技術	システム・ソフトウェア
133	APPS	デジタル・タービン	情報技術	アプリケーション・ソフトウェア
134	ARCB	アークベスト	資本財	陸運
135	ARCH	アーチ・コール	エネルギー	Thermal Coal
136	ARCT	アークトゥルス・...	ヘルスケア	バイオテクノロジー
137	AREN	Arena Group Holdi...	電気通信	Internet Content & Information
138	ARGO	アルゴ・グループ...	金融	動産保険・損害保険
139	ARI	アポロ・コマーシ...	金融	REIT-Mortgage
140	ARIS	ArisWaterSolutionInc	公益事業	Utilities-Regulated Water
141	ARKO	アルコ	ディフェンシブ	Grocery Stores
142	ARL	アメリカン・リア...	不動産	Real Estate-Development
143	ARLO	アーロ・テクノロ...	情報技術	システム・ソフトウェア
144	ARNC	アルコニック	資本財	航空宇宙・防衛
145	AROC	アーチロック	エネルギー	石油・ガス装置・サービス
146	AROW	アロー・フィナン...	金融	アメリカ地域銀行
147	ARQT	ArcutisBiotherape...	ヘルスケア	バイオテクノロジー
148	ARR	アーマー・レジデ...	金融	REIT-Mortgage
149	ARRY	アレイ・バイオフ...	テクノロジー	太陽光関連
150	ARTNA	アルテシアン・リ...	公益事業	水道
151	ARVN	ArvinasInc	ヘルスケア	バイオテクノロジー
152	ARWR	アローヘッド･ファ...	ヘルスケア	バイオテクノロジー
153	ASAN	アサナ	情報技術	システム・ソフトウェア
154	ASB	アソシエーテッド...	金融	アメリカ地域銀行
155	ASC	アードモア・シッ...	エネルギー	石油・ガス貯蔵・輸送
156	ASGN	オン・アサインメント	資本財	人事・雇用サービス
157	ASIX	アドバンシックス	素材	総合化学
158	ASLE	モノクル・アクイ...	資本財	空港サービス
159	ASO	アカデミー・スポ...	一般消費財	その他
160	ASPN	アスペン・エアロ...	エネルギー	石油・ガス装置・サービス
161	ASTE	アステック・イン...	資本財	農業機械
162	ASTR	Astra Space, Inc	資本財	Aerospace & Defense
163	ATEC	アルファテック・...	ヘルスケア	ヘルスケア機器
164	ATEN	A10ネットワークス	情報技術	システム・ソフトウェア
165	ATER	アテリアン	テクノロジー	民生用電子機器
166	ATEX	アンテリックス	電気通信	Telecom Services
167	ATGE	ディブライ・エデ...	一般消費財	教育サービス
168	ATHA	アティラ・ファーマ	ヘルスケア	バイオテクノロジー
169	ATI	アリゲニー・テク...	素材	金属・ガラス容器
170	ATIP	ATIP	ヘルスケア	Medical Care Facilities
171	ATKR	アトコア・インタ...	資本財	その他製造業
172	ATLC	アトランティクス...	金融	Credit Services
173	ATNI	アトランティック...	電気通信	総合電気通信サービス
174	ATOM	アトメラ	情報技術	Semiconductor Equipment & Mate
175	ATRA	アタラ・バイオセ...	ヘルスケア	バイオテクノロジー
176	ATRC	アトリキュア	ヘルスケア	ヘルスケア用品
177	ATRI	アトリオン・コー...	ヘルスケア	ヘルスケア用品
178	ATRO	アストロニクス	資本財	航空宇宙・防衛
179	ATSG	エア・トランスポ...	資本財	空港サービス
180	AUB	アトランティック...	金融	Banks-Regional
181	AUPH	オーリニア・ファ...	ヘルスケア	バイオテクノロジー
182	AURA	AuraBiosciencesInc	Healthcare	Biotechnology
183	AVA	アビスタ	公益事業	総合公益事業
184	AVAH	AveannaHealthcare...	ヘルスケア	Medical Care Facilities
185	AVAV	エアロバイロメント	資本財	航空宇宙・防衛
186	AVD	アメリカン・バン...	素材	農業用資材
187	AVDX	AvidXchangeHoldin...	ヘルスケア	その他
188	AVID	アビッド・テクノ...	情報技術	アプリケーション・ソフトウェア
189	AVIR	アビラジェン・セ...	ヘルスケア	バイオテクノロジー
190	AVNS	アヴァノス・メデ...	ヘルスケア	ヘルスケア用品
191	AVNT	アビエント	素材	特殊化学品
192	AVNW	アビアット・ネッ...	情報技術	通信機器
193	AVO	ミッション・プロ...	ディフェンシブ	Farm Products
194	AVPT	エイペックス・テ...	テクノロジー	Software-Infrastructure
195	AVTA	Avantax Inc.	金融サービス	Asset Management
