A
AAL
AAP
AAPL
AAPU
ABBV
ABC
ABNB
ABT
ACGL
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEO
AEP
AES
AFL
AFRM
AGG
AI
AIG
AIZ
AJG
AKAM
ALB
ALGN
ALK
ALL
ALLE
ALLY
AMAT
AMCR
AMD
AME
AMGN
AMP
AMT
AMZN
ANET
ANF
ANSS
AON
AOS
APA
APD
APH
APP
APTV
ARBK
ARE
ASTR
ATO
ATVI
AVB
AVGO
AVY
AWK
AXON
AXP
AZO
BA
BABA
BAC
BALL
BAX
BBBY
BBWI
BBY
BDX
BEN
BF.B
BG
BIIB
BILI
BIO
BK
BKKT
BKNG
BKR
BKSY
BLK
BMY
BND
BR
BRK.B
BRO
BSX
BWA
BXP
BYND
C
CAG
CAH
CAKE
CARR
CAT
CB
CBOE
CBRE
CCI
CCL
CDAY
CDNS
CDW
CE
CEG
CF
CFG
CHD
CHRW
CHTR
CI
CINF
CL
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COIN
COO
COP
COST
CPB
CPRT
CPT
CRL
CRM
CS
CSCO
CSGP
CSX
CTAS
CTLT
CTRA
CTSH
CTVA
CVS
CVX
CXSE
CZR
D
DAL
DASH
DBC
DD
DE
DFS
DG
DGX
DHI
DHR
DIS
DISH
DLR
DLTR
DOCU
DOV
DOW
DPZ
DRI
DTE
DUK
DVA
DVN
DXC
DXCM
EA
EBAY
EBS
ECL
ED
EDRY
EEFT
EFX
EIX
EL
ELV
EMN
EMR
ENPH
EOG
EPAM
EPI
EQIX
EQR
EQT
ES
ESS
ETN
ETR
ETSY
EVRG
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FCX
FDS
FDX
FE
FFIV
FI
FICO
FIS
FITB
FLT
FMC
FMX
FORM
FOX
FOXA
FRT
FSLR
FSR
FTCH
FTNT
FTV
FVRR
GD
GDRX
GDX
GDXJ
GE
GEHC
GEN
GILD
GIS
GL
GLW
GM
GME
GNRC
GOOG
GOOGL
GPC
GPN
GRAB
GRMN
GS
GWW
HAL
HAS
HBAN
HBI
HCA
HCSG
HD
HDV
HES
HIG
HII
HLT
HOLX
HON
HPE
HPQ
HRL
HSIC
HST
HSY
HUM
HWM
IBM
ICE
IDXX
IEX
IFF
ILMN
INCY
INTC
INTU
INVH
IP
IPG
IQV
IR
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JBLU
JCI
JKHY
JNJ
JNPR
JPM
K
KDP
KEY
KEYS
KHC
KIM
KLAC
KMB
KMI
KMX
KO
KR
L
LCID
LDOS
LEN
LH
LHX
LIN
LKQ
LLY
LMT
LNC
LNT
LOW
LRCX
LSPD
LUMN
LUV
LVS
LW
LYB
LYFT
LYV
LZ
MA
MAA
MAR
MAS
MCD
MCHP
MCK
MCO
MCY
MDLZ
MDT
MET
META
MGIC
MGM
MHK
MKC
MKTX
MLM
MMC
MMM
MNST
MO
MOH
MOS
MPC
MPWR
MQ
MRK
MRNA
MRO
MS
MSCI
MSFT
MSI
MTB
MTCH
MTD
MU
NCLH
NDAQ
NDSN
NEE
NEM
NFLX
NI
NIO
NKE
NOC
NOW
NRG
NSC
NTAP
NTRS
NUE
NVAX
NVDA
NVR
NVTA
NWL
NWS
NWSA
NXPI
O
ODFL
OGN
OKE
OKTA
OMC
ON
ORCL
ORLY
OTIS
OXY
PANW
PARA
PATK
PAYC
PAYX
PCAR
PCG
PEAK
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PINS
PKG
PLD
PLTR
PLUG
PM
PNC
PNR
PNW
PODD
POOL
PPG
PPL
PRU
PSA
PSX
PTC
PTON
PWR
PXD
PYPL
QCOM
QQQ
QRVO
RBLX
RCL
RE
REG
REGN
RENN
RF
RHI
RIDE
RIVN
RJF
RL
RMD
ROK
ROKU
ROL
ROP
ROST
RSG
RTX
RVTY
S
SBAC
SBUX
SCHW
SE
SEDG
SEE
SHOP
SHW
SIGA
SIRI
SJM
SKLZ
SLB
SNA
SNAP
SNPS
SO
SOXL
SOXS
SPCE
SPG
SPGI
SPIR
SPOT
SPXL
SPY
SPYD
SRE
STE
STLD
STT
STX
STZ
SWK
SWKS
SYF
SYK
SYY
T
TAP
TDG
TDOC
TDY
TECH
TECL
TECS
TEL
TER
TFC
TFX
TGT
TJX
TLT
TMO
TMUS
TNXP
TPR
TRGP
TRMB
TROW
TRV
TSCO
TSLA
TSLL
TSM
TSN
TT
TTWO
TWLO
TXG
TXN
TXT
TYL
U
UAA
UAL
UDR
UHS
ULTA
UNH
UNP
UPS
UPST
URI
USB
V
VFC
VICI
VLO
VMC
VOD
VOO
VRSK
VRSN
VRTX
VT
VTI
VTR
VTRS
VYM
VZ
WAB
WAT
WBA
WBD
WDC
WE
WEC
WELL
WFC
WHR
WM
WMB
WMT
WRB
WRK
WST
WTW
WU
WY
WYNN
XBIT
XEL
XLF
XOM
XPEV
XRAY
XYL
YUM
ZBH
ZBRA
ZI
ZION
ZM
ZTS
ZUMZ
